Store Name,Store Address,City,State,Pincode
Mangalore-MAK Mall,"Croma, MAK MALL, Kankanady, Mangalore, Karnataka - 575002",Mangalore,Karnataka,575002
Mysore-Double Road,"Croma, # 508, Vishwamanava Double Road, Kuvempunagar, Mysuru - 570023",Mysore,Karnataka,570023
Bhopal-DB Mall,"Croma, Unit No. 29A, DB City Mall, Opp MP NagarZone-1, Khasra 1511 & 1509, Arera Hills, Opp. MP Nagar Bhopal, Madhya Pradesh- 462004",Bhopal,Madhya Pradesh,462004
Bhopal-Arera Colony,"Croma,Plot bearing No. E-4/153, Ward No. 45, 10 No. Market, Arera Colony, Bhopal, Madhya Pradesh. PIN - 462016",Bhopal,Madhya Pradesh,462016
Gwalior-City Center,"Croma, C-1, Opposite Hotel Central Park, City Centre, Gwalior-474001",Gwalior,Madhya Pradesh,474001
Indore-Vijay Nagar Square,"Croma, Unit No. F 1 to F 11, First Floor, Apollo Premier, Vijay Nagar Square, Madhya Pradesh, Indore - 452010",Indore,Madhya Pradesh,452010
Indore-Aerodrum Road,"Space Tower, Part of Ground, Mezzanine & first floor, Plot No.114 part of khasra no.178/1 and 181, Tirupati Nagar Colony, Aerodrum Road, Indore, Madhya Pradesh. PIN - 452001.",Indore,Madhya Pradesh,452001
Aurangabad-Prozone Mall,"Croma,Prozon Mall.Unit No.G-67,Plot No.P- 80,MIDC Chikalthana Area,Airport Road - 431210",Aurangabad,Maharashtra,431210
Aurangabad-Waluj,"Croma, Plot no. P-142, MIDC, Waluj, Aurangabad ,Maharashtra-431136",Aurangabad,Maharashtra,431136
Baramati-Bhigwan Road,"Croma, 116/12, Lower Ground, Ground, First and Second Floor, G G Prime Square, Jalochi, Bhigwan Road, Baramati, Taluka, Pune, Maharashtra. PIN – 413102",Baramati,Maharashtra,413102
Kolhapur-StarBazaar,"Croma, Part Ground Floor, Ghatge Patil Automobiles, Plot No. 517 E, Old Pune Bangalore Road, Opp. Hotel Victor Palace, Kolhapur, Maharashtra. PIN – 416001.",Kolhapur,Maharashtra,416001
Mumbai-Juhu,"CROMA,Ground Floor,Vasundhara CHS Opp Utpal Shanghvi School,JVPD,Vile Parle(W) - 400049",Mumbai,Maharashtra,400049
Mumbai-Malad,"CROMA,Palm Spring Center Ground Floor,Malad Link Road - 400064",Mumbai,Maharashtra,400064
"Mumbai-Airport
Terminal 1B","CROMA, At Ph II of Terminal B1 CSI Airport - 400099",Mumbai,Maharashtra,400099
Mumbai-Mulund,"CROMA,Colour Scape,Mall Dhamaal,Off LBS Road,Dumping Rd Opp.R-Mall,Nr Mulund Checknaka,Mulund(W) - 400080",Mumbai,Maharashtra,400080
Mumbai-Bandra Mall,"CROMA,Lower Ground Floor,Link Square mall,Plot no.490/491 33rd Road,off Linking Road,Bandra(W) - 400050",Mumbai,Maharashtra,400050
Mumbai-Fort,"CROMA ZIP,Ground floor,Elphistone Building 10- Veer Nariman Road,Horniman Circle,Fort - 400023",Mumbai,Maharashtra,400023
Mumbai-PMC Lower Parel Mall,"CROMA,Block-43,Grand Galleria,Pheonix Mills Compound 462,Senapati Bapat Marg,Lower Parel - 400013",Mumbai,Maharashtra,400013
"Mumbai-Ghatkopar Mall","CROMA,Unit No.G10,Ground Floor,Rcity L.B.S Marg,Ghatkopar(W) - 400086",Mumbai,Maharashtra,400086
Mumbai-Sion,"CROMA,Sion Garage Bldg.Plot No.112,Near Cinemax Sion Koliwada Rd. - 400022",Mumbai,Maharashtra,400022
Mumbai-Oberoi Mall,"CROMA,Unit no F-25,First Floor,Oberoi Mall Pvt Ltd Off Western Exp.Highway,Goregaon(E) - 400063",Mumbai,Maharashtra,400063
Mumbai-Breach Candy,"CROMA,Dhun-Abad,106,Bhulabai Desai Road Junction of Warden Road/Nepean Sea Road - 400036",Mumbai,Maharashtra,400036
Mumbai-Kandivali,"CROMA,Ground/Lower Ground Flr,V Souk,B-2,Sec- 10 Opp.Kamla Vihar Sports Club,Mahavir Nagar,Kandivali(W) - 400067",Mumbai,Maharashtra,400067
Mumbai-Prabhadevi,"Croma,Lower Ground Floor,Century Bhavan Dr.Annie Besant Road,Worli - 400030",Mumbai,Maharashtra,400030
"Mumbai-PMC Kurla Mall","CROMA,UG-41/42,Phoenix Market City L.B.S.Marg,Kurla(W) - 400070",Mumbai,Maharashtra,400070
Mumbai-Andheri,"CROMA,Unit No.2/3,Landmark Link Road,Andheri(W) - 400053",Mumbai,Maharashtra,400053
Mumbai-Airport Terminal 2,"CROMA, Terminal 2, Chhatrapati Shivaji Domestic Aiport Sahar, Andheri East - 400099",Mumbai,Maharashtra,400099
Mumbai-Bhandup Mall,"CROMA,Neptune Mall Ground Floor, Near Mangatram petrol pump L.B.S Road, Bhandup West - 400078",Mumbai,Maharashtra,400078
Mumbai-Growel101 Mall,"Croma Growel's 101, Address Off Western Express Highway, Akurli Road Kandivali East - 400101",Mumbai,Maharashtra,400101
Mumbai-Borivali,"Croma, Ground & 1st Floor, Natraj Sodawala Lane, Borivali (West) - 400092",Mumbai,Maharashtra,400092
Mumbai-Infiniti Mall,"Croma,Infiniti Mall, Unit No.LG002, Malad Link Road Malad West - 400064",Mumbai,Maharashtra,400064
Mumbai-Churchgate,"Croma, Block No. 2, Ground Floor, Ram Mahal Building, 8, Dinshaw Vachha Road, Churchgate, Mumbai, Maharashtra. PIN – 400020.",Mumbai,Maharashtra,400020
Mumbai-Kurla LBS Road,"Croma, “Global One”  252 and 252/1, LBS Marg, Kurla (W), Mumbai – 400070, Maharashtra",Mumbai,Maharashtra,400070
Mumbai-Chembur,"667A/2,VN Purav Marg, Sabari Park, Opp R K Studio, Chembur, Mumbai-400071",Mumbai,Maharashtra,400071
Nashik-Solitario,"CROMA,Unit No.1/2/101,Hari Prabha Solitario Kulkarni Baug,Off College Road,Thatte Marg - 422005",Nashik,Maharashtra,422005
Nashik-Nashik Road,"Pushpa Park, Inox Signal Nashik Pune Highway Nashik-422011",Nashik,Maharashtra,422011
Navi Mumbai-Belapur,"CROMA,Lords Bldg,Plot 35/35A Sec-15,CBD Belapur - 400614",Navi Mumbai,Maharashtra,400614
Navi Mumbai-Kharghar,"CROMA ,Showroom no.2/3/4/5/6,Ground/First Floor The Landmark,Plot No.26A,Sec 07,Kharghar - 410210",Navi Mumbai,Maharashtra,410210
Navi Mumbai-Vashi,"CROMA, Akshar Plaza, Ground & First Floor, Plot No. 26 & 27, Sector 19 C, Palm Beach Road, Vashi, - 400705",Navi Mumbai,Maharashtra,400705
Navi Mumbai- Seawoods Mall,"CROMA,Seawoods Grand Central Mall,Plot No. R1,Sector 40 Seawoods Railway Station, Navi Mumbai - 400706",Navi Mumbai,Maharashtra,400706
Pune-Krome Mall,"CROMA Krome Mall, 32/1  Pune Solapur Road,Wanowari - 411013",Pune,Maharashtra,411013
Pune-Aundh,"CROMA,NSG IT Park ,Survey No.127/2B/1A,ITI Road Near Sarjaa Restaurant,Aundh - 411007",Pune,Maharashtra,411007
Pune-Pimpri,"CROMA,Shubhan Galleria,Shop no.2,Ground Flr 209 Near Pimpri Bridge,Opp Judson High School,Pimpri - 411018",Pune,Maharashtra,411018
Pune-Kothrud,"CROMA,Giridhar Avenue,Ground Flr S.No.20/2 Plot No.R1,CTS No.677,Kothrud - 411038",Pune,Maharashtra,411038
Pune-Seasons Mall,"CROMA,Unit No.G-20/21,Season Mall Hadapsar,Magarpatta City - 411028",Pune,Maharashtra,411028
Pune-Wakad,"CROMA,Ground Floor,Showroom no.3/2 Building no.‘A’,G.O.Square,Wakad - 411057",Pune,Maharashtra,411057
Pune-PMC Mall,"CROMA, Unit No: F-41, 1st Floor, Phoenix Market City Viman Nagar - 411014",Pune,Maharashtra,411014
Pune-Baner,"Croma,Showroom No. 1 & 2, Ground Floor, Pride Gateway S. No. 112/1/2/1, 112/1/2/3 (P), Baner - 411045",Pune,Maharashtra,411045
Pune-Chinchawad,"Croma,Aishwaryam One, P-71, D 3 Block, MIDC, Chinchawad, Pune-411019",Pune,Maharashtra,411019
Pune-Katraj,"Ground & Mezzanine floor, Showroom No 1, 2 & 3, Sugandhtrara Realty, Survey. No 83, Katraj Ambegaon Highway, Katraj, Pune - 411046, Maharashtra.",Pune,Maharashtra,411046
Solapur-Murarji Peth,"Unit no. 1-7,18-25 on Ground Floor and Unit no. 1 7,18-25 on First Floor, Vishal Heights, situated at Pune Road, Marunji Peth Near Central Bus Stand, Solapur – 413001",Solapur,Maharashtra,413001
Thane-Bhayander,"CROMA,Rashesh Mall,Near Maxus Mall Next Venkatesh Hall,Sri Vallabhacharyaji Marg - 401101",Thane,Maharashtra,401101
Thane-R Mall,"CROMA ,R Mall,Godhbunder Road Thane(W) - 400607",Thane,Maharashtra,400607
Thane-Big Centre Mall,"Croma, Level 1,Big Shopping Center, Above Hyper City, Ghodbunder Rd, Thane (W), Mumbai - 400601",Thane,Maharashtra,400601
Thane-Ghodbunder Road,"Croma, House No. 43, S. NO. 32/2H, 5 Ghodbunder Road, Thane, Maharashtra. PIN – 400607",Thane,Maharashtra,400607
Jalandhar-Lajpat Nagar,"Croma, Ground & First Floor,260, LAJPAT NAGAR, JALANDHAR – 144001",Jalandar,Punjab,144001
Mohali-VR Mall,"Croma, Unit No.G-17,18,19, F-17,18,19  -VR PUNJAB NH-21, Mohali Kharar Road, Mohali, S.A.S Nagar, Punjab, India, Pin -160055",Mohali,Punjab,160055
Jaipur-WTP Mall,"Croma, 1st floor,  Tower A1, North block, World Trade Park, Jawahar Lal Nehru Marg, D – Block, Malviya Nagar, Jaipur – 302017",Jaipur,Rajasthan,302017
Kota-Dakaniya Station Road,"Croma, 1-4, Dakaniya Station Road, Road No 1, Indraprastha Industrial Area, Kota , Rajasthan 324005",Kota,Rajasthan,324005
Chennai-Mount Road,"CROMA,Tarapore Towers,826 Ground Floor Anna Salai,Mount Road - 600002",Chennai,Tamil Nadu,600002
Chennai-Anna Nagar,"CROMA,Khanna Building,AA-5,2nd Avenue Annanagar - 600004",Chennai,Tamil Nadu,600004
Chennai-T Nagar,"CROMA,Ground Flr,Kences Towers No.1 Ramakrishnan Street,North Usman Road,T Nagar - 600017",Chennai,Tamil Nadu,600017
Chennai-Grand Mall,"CROMA,Grand Mall,Vellachery-No-137 Tambaram Main Road,Velachery - 600042",Chennai,Tamil Nadu,600042
Chennai-PMC Mall,"CROMA,Phoenix Market City Velachery Main Road,Velachery - 600042",Chennai,Tamil Nadu,600042
Chennai-Mogappair,"Croma, Plot no B24, Industrial Plot At Dr. Puratchi Thalaivi Jayalalita Nagar West, Mogappair - 600037",Chennai,Tamil Nadu,600037
Chennai-Avadi,"Croma, Plot No. 6/PC2-4 & 5, TNHB 60 ft Road, Avadi, Chennai - 600054",Chennai,Tamil Nadu,600054
Chennai-BSR Mall,"Croma, Ground & First Floor, BSR Mall, 1/609, Old Mahabalipuram Road, Okkiyam Thoraipakkam, Chennai – 600096",Chennai,Tamil Nadu,600096
Chennai-Chrompet,"Croma, No. 14 & 15, GST Road, Tambaram Sanatorium, Chromepet, Taml Nadu, Chennai - 600047",Chennai,Tamil Nadu,600047
Coimbatore-Prozone Mall,"Croma,Unit No. G-15, Village Sarvanampatti, Sathy Road, Coimbatore, TamilNadu- 641035",Coimbatore,Tamil Nadu,641035
Coimbatore-Laxmi Mills,"Croma,The Laxmi Mills Company Limited, 605- 608, Laxmi Mills, Avanashi Road, P.N. Palayam, Coimbatore-641037",Coimbatore,Tamil Nadu,641037
Hosur-Bagalur Road,"5/15, Bagalur Road, Opposite to pantaloons, Hosur – 635109",Hosur,Tamil Nadu,635109
Salem-Bharathi Street,"Croma, Plot # A/4, Bharathi Street, Swarnapuri, Salem -636004",Salem,Tamil Nadu,636004
Hyderabad-Jubilee,"CROMA,Ground/First Floor,Plot no.755 Road no.36,Jubille Hills - 500033",Hyderabad,Telangana,500033
Hyderabad-Panjagutta,"CROMA,Prestige Towers,Grnd Flr 6-3-664 Panjagutta Main Road,Somajiguda - 500018",Hyderabad,Telangana,500018
Hyderabad-Kondapur,"CROMA,Ground Flr,Nagarjuna Ikon,Kothaguda Serlingampally Mall,Ranga Reddy Dist,Kondapoor - 50008",Hyderabad,Telangana,
Hyderabad-Terminal International,"CROMA ,Unit no. SU 16a, Level F,Domestic Dep. Rajiv Gandhi Int.Airport,Shamshabad - 500409",Hyderabad,Telangana,500409
Hyderabad-L B Nagar,"CROMA, Ground Floor,D.V.Cascade,Plot 59A,59/B,59/C,59/D In Survey 9/9,Saroornagar Village,L.B.Nagar - 500074",Hyderabad,Telangana,500074
Hyderabad-AS RaoNagar,"CROMA, Tirupathi Reddy Plaza, Plot no 2, G Block Colony AS Rao Nagar, Kapra, Ranga Reddy District - 500062",Hyderabad,Telangana,500062
Hyderabad-Kompally,"Croma, Ratna Arcade, Grnd Flr Survey No. 128, National Highway 44 Beside Sree vensai towers, Kompally - 500014",Hyderabad,Telangana,500014
Hyderabad-Attapur,"Croma,ATTA-Sirimallesquare-A152,Sirimalle Square Plot Nos.8 9 10 Survey No.523/B, Pillar no.160, Attapur, Rajendra Nagar Mandal - 500048",Hyderabad,Telangana,500048
Hyderabad-Kukatpally,"Croma, 5-1-63, 64/1, Kukatpally, Hyderabad - 500072",Hyderabad,Telangana,500072
Hyderabad-Sarath City Mall,"Croma, 2F 83-86, Sarath Capital Mall, Survey No. 38, 39P, 40, 41, 42, 48, 49, 50, 51, 52 & 53 situated at Kothaguda Village, Serilingampally Mandal, R. R. District, Hyderabad, Pin-500084",Hyderabad,Telangana,500084
Hyderabad- Ramanthapur,"Croma, Unit No. 2 & 3, Ground Floor, Plot Survey No. 46, Pragathi Nagar, Ramanthapur Main Road, Ramanthapur, Telangana, Hyderabad - 500013",Hyderabad,Telangana,500013
Hyderabad-Karmanghat,"Ground Floor, Shubham Palace, P.No.1,2&3, Sy.No.2 Part, 3/1, 3/2, 3/3, 312 Part 313 and 314 Ward No.B, Block No.1, Srinidhi Colony Saroor Nagar Mandal, Hyderabad, Telangana -500035",Hyderabad,Telangana,500035
Hyderabad- Madinaguda,"Plot No. 186 & 203, Survey No. 2,Madinaguda, NH-9, Hyderabad, Telangana-500049",Hyderabad,Telangana,500049
Secunderabad-New Vikrampuri,"Croma, Unit.no: 3-7-222, & 3-7-223, Vikrampuri, Kharkhana Kakaguda village, Secunderabad, Cantonment - 500009",Secunderabad,Telangana,500009
Ghazibad-Pacific Mall,"CROMA Plot No.1,Dr.Burman Marg,Site 4 Sahibabad Industrial Area - 201001",Ghaziabad,Uttar Pradesh,201001
Ghazibad-Aditya Mall,"CROMA,Aditya City Centre,Plot No.C/GH-3 Vaibhav Khand,Indirapuram - 201001",Ghaziabad,Uttar Pradesh,201001
"Ghazibad- Gaur Central RDC Mall","CROMA,Unit No.9, Ground Floor Gaur Central RDC - 201001",Ghaziabad,Uttar Pradesh,201001
Lucknow-Aliganj,"Plot No.5, Sector E, Aliganj, Lucknow-226024",Lucknow,Uttar Pradesh,226024
"Greater Noida-Ansal Plaza Mall","CROMA,Ansal Plaza,Atrium Ground Floor Unit no.A G-16&22,Pari Chowk - 201308",Noida,Uttar Pradesh,201308
Noida-Logix Mall,"CROMA, Logix City Centre, Unit No.11, 1st Floor Plot No.BW-58,Sector -32 - 201301",Noida,Uttar Pradesh,201301
Noida-Mall of India,"Croma, Unit No. C218B, 1st Floor DLF Mall of India Plot No. H-03, Sector 18 - 201301",Noida,Uttar Pradesh,201301
Noida-Gaur Mall,"Croma,LGF Anchor No.5, Lower Ground Floor, Gaur Mall, C-01B/GH01, Sector-04, Greater Noida (West), Greater Noida-201301, Uttar Pradesh- 201301",Noida,Uttar Pradesh,201301
"Asansol-Bhagat Singh More","Anand Apartment, 190/1 G.T. Road (West) Asansol 713304",Asansol,West Bengal,713304
Kolkata-Sarat Bose Road,"Croma, 57, Sarat Bose Road, Ground, First and Second Floor, PS Residency Building, Kolkata - 700025",Kolkata,West Bengal,700025
Kolkata-Rajarhat,"Croma, Plot No CB 218, AA-I, New Town, Kolkata - 700156",Kolkata,West Bengal,700156
Kolkata-Green Chinar,"Green Chinar, Near City Center II, Major Arterial Road, Noapara P.O. Rajarhat, Dash Drone, Kolkata, West Bengal 700157",Kolkata,West Bengal,700157
Kolkata-Barasat,"Plot bearing No. N – 16, Jessore Road, Barasat, Kolkata – 700124",Kolkata,West Bengal,700124
Kolkata-Kalikapur,"BKV Project , situated at 4/2 Kalikapur Road, Kolkata – 700099",Kolkata,West Bengal,700099
Kolkata-Salt Lake Sector 5,"Aurora Water Front– GN-34/1, Saltlake Sec-V, Bidhannagar, North 24 Parganas, Kolkata – 700091",Kolkata,West Bengal,700091
